chunk_id,source_id,source_title,row_index,source_file
ken_2024::chunk::f63c43de9474,ken_2024,Pharmacokinetic and Pharmacodynamic Drug Interactions: Insights and Clinical Management,14,Ken-2024-pharmacokinetic-and-pharmacodynamic-drug-interactions-insights-and-clinical-management.pdf
knox_24::chunk::b1f61fc36e57,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,1,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::51407c05f6da,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,2,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::dec7ac8959e6,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,3,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::32e05eaaffdf,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,4,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::be583f6added,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,5,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::9ad5a9663808,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,6,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::91b1a2b5cb75,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,7,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::0fa6dc20c75c,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,8,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::cbe551490a72,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,9,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::02f98e0cd93c,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,10,knox-2024-DrugBank 6.0.pdf
knox_24::chunk::46d6f1891ac7,knox_24,DrugBank 6.0: a comprehensive update on one of the world's most widely used drug resources,11,knox-2024-DrugBank 6.0.pdf
knuijver_2020::chunk::3df1f2690610,knuijver_2020,Safety of ibogaine administration in detoxification of opioid-dependent individuals: a descriptive open-label observational study,6,Knuijver_2020-safety-of-ibogaine-administration.pdf
knuijver_2020::chunk::e07465b24e05,knuijver_2020,Safety of ibogaine administration in detoxification of opioid-dependent individuals: a descriptive open-label observational study,9,Knuijver_2020-safety-of-ibogaine-administration.pdf
knuijver_2020::chunk::0590ea92c385,knuijver_2020,Safety of ibogaine administration in detoxification of opioid-dependent individuals: a descriptive open-label observational study,20,Knuijver_2020-safety-of-ibogaine-administration.pdf
knuijver_2024::chunk::0a7bc2cf644b,knuijver_2024,The pharmacokinetics and pharmacodynamics of ibogaine in opioid use disorder patients,1,Knuijver_2024-ibogaine-opioids.pdf
liechti_2014::chunk::4b280b2f96fa,liechti_2014,Effects of MDMA on body temperature in humans,7,Liechti-2014-Effects of MDMA on body temperatu.pdf
lindsey_2012::chunk::b1697e59f077,lindsey_2012,Drug Interactions between Common Illicit Drugs and Prescription Therapies,5,Lindsey_2012-Drug Interactions between Common Illicit Drugs and Prescription Therapies.pdf
luz_2021::chunk::89324ba2f3d1,luz_2021,Reply to Knuijver et al. on the Safety of ibogaine administration in detoxification of opioid-dependent individuals,3,luz_2021-Reply to Knuijver et al  on the  Safety of ibogaine administration in detoxification of.pdf
luz_2021::chunk::2b9a48223454,luz_2021,Reply to Knuijver et al. on the Safety of ibogaine administration in detoxification of opioid-dependent individuals,6,luz_2021-Reply to Knuijver et al  on the  Safety of ibogaine administration in detoxification of.pdf
luz_2021::chunk::9e0a6140fbb3,luz_2021,Reply to Knuijver et al. on the Safety of ibogaine administration in detoxification of opioid-dependent individuals,9,luz_2021-Reply to Knuijver et al  on the  Safety of ibogaine administration in detoxification of.pdf
marinis_2025::chunk::676bbe2b4643,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,1,marinis_2025-reporting-side-effects-of-psilocybin.pdf
marinis_2025::chunk::1866b485d24c,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,2,marinis_2025-reporting-side-effects-of-psilocybin.pdf
marinis_2025::chunk::6c9331257f52,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,4,marinis_2025-reporting-side-effects-of-psilocybin.pdf
marinis_2025::chunk::c688970d7bb5,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,5,marinis_2025-reporting-side-effects-of-psilocybin.pdf
marinis_2025::chunk::b4984a109197,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,7,marinis_2025-reporting-side-effects-of-psilocybin.pdf
marinis_2025::chunk::f83d964b7720,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,10,marinis_2025-reporting-side-effects-of-psilocybin.pdf
marinis_2025::chunk::9778f49eb787,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,11,marinis_2025-reporting-side-effects-of-psilocybin.pdf
marinis_2025::chunk::afa4f398ef82,marinis_2025,Reporting of side-effects in clinical trials of psilocybin-assisted psychotherapy for psychiatric conditions: systematic review,12,marinis_2025-reporting-side-effects-of-psilocybin.pdf
nayak_2021::chunk::f2b4b9ed501e,nayak_2021,Classic Psychedelic Coadministration with Lithium,1,Nayak-2021-Classic Psychedelic Coadministration with Lithium.pdf
nayak_2021::chunk::a47d77077a0b,nayak_2021,Classic Psychedelic Coadministration with Lithium,8,Nayak-2021-Classic Psychedelic Coadministration with Lithium.pdf
nicholas_2024::chunk::673110bc3912,nicholas_2024,Co-administration of midazolam and psilocybin: differential effects on subjective quality versus memory of the psychedelic experience,7,nicholas_2024-co-administration of midazolam and psilocybin.pdf
nicholas_2024::chunk::e7072369d747,nicholas_2024,Co-administration of midazolam and psilocybin: differential effects on subjective quality versus memory of the psychedelic experience,14,nicholas_2024-co-administration of midazolam and psilocybin.pdf
nicholas_2024::chunk::da34704dd773,nicholas_2024,Co-administration of midazolam and psilocybin: differential effects on subjective quality versus memory of the psychedelic experience,15,nicholas_2024-co-administration of midazolam and psilocybin.pdf
sarparast_2022::chunk::dd16ab77e8d6,sarparast_2022,Drug-drug interactions between psychiatric medications and MDMA or psilocybin,10,Sarparast-2022-Drug-drug interactions between psychiatric medications and MDMA or psilocybin.pdf
schmid_2015_b::chunk::d4cb303f1f88,schmid_2015_b,Effects of methylphenidate and MDMA on appraisal of erotic stimuli and intimate relationships,5,Schmid-2015-Effects of methylphenidate and MDM.pdf
schmid_2015_b::chunk::4cee5b0301c8,schmid_2015_b,Effects of methylphenidate and MDMA on appraisal of erotic stimuli and intimate relationships,9,Schmid-2015-Effects of methylphenidate and MDM.pdf
shen_2010::chunk::e8b0515b2c43,shen_2010,"Effects of monoamine oxidase inhibitor and cytochrome P450 2D6 status on 5-methoxy-N,N-dimethyltryptamine metabolism and pharmacokinetics",11,Shen-2010-Effects of monoamine oxidase inhibit.pdf
tran_2025::chunk::aa5519b16d5a,tran_2025,Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death: A Case Report,1,tran_2025-Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death- A Case Report.pdf
tran_2025::chunk::6459d1a8e700,tran_2025,Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death: A Case Report,7,tran_2025-Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death- A Case Report.pdf
tran_2025::chunk::65695caf6e3e,tran_2025,Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death: A Case Report,10,tran_2025-Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death- A Case Report.pdf
tran_2025::chunk::6a7a1fe2bc2e,tran_2025,Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death: A Case Report,11,tran_2025-Shamanic Kambô Frog Hyponatremic Toxicity Leading to Brain Death- A Case Report.pdf
veraart_2021::chunk::00176e2562fd,veraart_2021,Pharmacodynamic Interactions Between Ketamine and Psychiatric Medications Used in the Treatment of Depression: A Systematic Review,8,veraat_2021-Pharmacodynamic Interactions Between Ketamine.pdf
waters_2021::chunk::3248e23aaf4a,waters_2021,Pharmacologic Similarities and Differences Among Hallucinogens,1,Waters-2021-Pharmacologic Similarities and Dif.pdf
waters_2021::chunk::57502eea650c,waters_2021,Pharmacologic Similarities and Differences Among Hallucinogens,2,Waters-2021-Pharmacologic Similarities and Dif.pdf
wojtas_2022::chunk::d274885140f4,wojtas_2022,"Effect of psilocybin and ketamine on brain neurotransmitters, glutamate receptors, DNA and rat behaviour",4,Wojtas_2022-effect-of-psilocybin-and-ketamine.pdf
wsol_2023::chunk::8b9ead949df1,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,1,Wsół-2023-Cardiovascular safety of psychedelic.pdf
wsol_2023::chunk::5d8b5e07fa7c,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,3,Wsół-2023-Cardiovascular safety of psychedelic.pdf
wsol_2023::chunk::ea53547877a4,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,4,Wsół-2023-Cardiovascular safety of psychedelic.pdf
wsol_2023::chunk::221ee287abaa,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,5,Wsół-2023-Cardiovascular safety of psychedelic.pdf
wsol_2023::chunk::87915098cd79,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,7,Wsół-2023-Cardiovascular safety of psychedelic.pdf
wsol_2023::chunk::8203e4a0762c,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,8,Wsół-2023-Cardiovascular safety of psychedelic.pdf
wsol_2023::chunk::b4ec42478917,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,9,Wsół-2023-Cardiovascular safety of psychedelic.pdf
wsol_2023::chunk::4381f052a470,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,10,Wsół-2023-Cardiovascular safety of psychedelic.pdf
wsol_2023::chunk::2d415cedb0ad,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,11,Wsół-2023-Cardiovascular safety of psychedelic.pdf
wsol_2023::chunk::ef91b2982fa5,wsol_2023,Cardiovascular safety of psychedelic medicine: current status and future directions,14,Wsół-2023-Cardiovascular safety of psychedelic.pdf
